GO biological process complete,Caenorhabditis elegans - REFLIST (20452),upload_1 (1866),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (P-value)
neuropeptide signaling pathway (GO:0007218),104,54,9.49,+,5.69,3.10E-20
RNA secondary structure unwinding (GO:0010501),36,14,3.28,+,4.26,2.04E-02
ribosomal large subunit biogenesis (GO:0042273),54,19,4.93,+,3.86,2.43E-03
positive regulation of meiotic cell cycle (GO:0051446),55,18,5.02,+,3.59,1.23E-02
negative regulation of cellular amide metabolic process (GO:0034249),57,18,5.2,+,3.46,1.97E-02
negative regulation of translation (GO:0017148),57,18,5.2,+,3.46,1.97E-02
ribosome biogenesis (GO:0042254),193,57,17.61,+,3.24,1.20E-10
rRNA processing (GO:0006364),132,36,12.04,+,2.99,3.65E-05
regulation of translation (GO:0006417),115,31,10.49,+,2.95,4.47E-04
regulation of cellular amide metabolic process (GO:0034248),115,31,10.49,+,2.95,4.47E-04
ncRNA processing (GO:0034470),199,53,18.16,+,2.92,3.98E-08
positive regulation of cell cycle (GO:0045787),87,23,7.94,+,2.9,2.14E-02
rRNA metabolic process (GO:0016072),140,37,12.77,+,2.9,5.10E-05
ncRNA metabolic process (GO:0034660),205,54,18.7,+,2.89,3.84E-08
ribonucleoprotein complex biogenesis (GO:0022613),257,61,23.45,+,2.6,1.20E-07
regulation of phosphate metabolic process (GO:0019220),140,33,12.77,+,2.58,3.38E-03
regulation of phosphorus metabolic process (GO:0051174),140,33,12.77,+,2.58,3.38E-03
negative regulation of cell cycle (GO:0045786),111,26,10.13,+,2.57,4.60E-02
regulation of protein modification process (GO:0031399),146,33,13.32,+,2.48,8.04E-03
meiotic cell cycle (GO:0051321),248,56,22.63,+,2.47,4.17E-06
meiotic cell cycle process (GO:1903046),212,45,19.34,+,2.33,8.39E-04
posttranscriptional regulation of gene expression (GO:0010608),264,56,24.09,+,2.32,3.43E-05
meiotic nuclear division (GO:0140013),196,41,17.88,+,2.29,3.85E-03
nuclear division (GO:0000280),238,49,21.71,+,2.26,6.24E-04
cell cycle process (GO:0022402),457,93,41.7,+,2.23,6.13E-09
cell cycle (GO:0007049),528,107,48.17,+,2.22,1.74E-10
cell division (GO:0051301),238,48,21.71,+,2.21,1.45E-03
organelle fission (GO:0048285),247,49,22.54,+,2.17,1.76E-03
nuclear chromosome segregation (GO:0098813),208,41,18.98,+,2.16,1.56E-02
mitotic cell cycle (GO:0000278),230,45,20.98,+,2.14,6.90E-03
regulation of protein metabolic process (GO:0051246),380,74,34.67,+,2.13,6.53E-06
mitotic cell cycle process (GO:1903047),221,43,20.16,+,2.13,1.29E-02
regulation of cellular protein metabolic process (GO:0032268),361,70,32.94,+,2.13,2.05E-05
regulation of cell cycle (GO:0051726),293,53,26.73,+,1.98,9.00E-03
female gamete generation (GO:0007292),286,50,26.09,+,1.92,3.98E-02
negative regulation of gene expression (GO:0010629),409,71,37.32,+,1.9,9.94E-04
negative regulation of metabolic process (GO:0009892),544,89,49.63,+,1.79,4.55E-04
negative regulation of macromolecule metabolic process (GO:0010605),528,86,48.17,+,1.79,8.70E-04
gamete generation (GO:0007276),563,89,51.37,+,1.73,1.85E-03
programmed cell death (GO:0012501),516,81,47.08,+,1.72,7.34E-03
apoptotic process (GO:0006915),501,78,45.71,+,1.71,1.47E-02
single organism reproductive process (GO:0044702),1502,229,137.04,+,1.67,8.94E-11
cell death (GO:0008219),556,84,50.73,+,1.66,1.96E-02
genitalia development (GO:0048806),747,112,68.15,+,1.64,9.28E-04
hermaphrodite genitalia development (GO:0040035),736,110,67.15,+,1.64,1.36E-03
sexual reproduction (GO:0019953),669,99,61.04,+,1.62,7.46E-03
negative regulation of biological process (GO:0048519),1012,148,92.33,+,1.6,5.56E-05
multi-organism reproductive process (GO:0044703),679,99,61.95,+,1.6,1.36E-02
cellular component biogenesis (GO:0044085),816,118,74.45,+,1.58,2.59E-03
development of primary sexual characteristics (GO:0045137),968,139,88.32,+,1.57,4.16E-04
gonad development (GO:0008406),968,139,88.32,+,1.57,4.16E-04
reproductive system development (GO:0061458),983,141,89.69,+,1.57,3.60E-04
reproductive structure development (GO:0048608),983,141,89.69,+,1.57,3.60E-04
developmental process involved in reproduction (GO:0003006),1332,191,121.53,+,1.57,1.98E-06
multi-organism process (GO:0051704),750,107,68.43,+,1.56,1.44E-02
sex differentiation (GO:0007548),1051,149,95.89,+,1.55,3.12E-04
regulation of metabolic process (GO:0019222),1627,226,148.44,+,1.52,7.57E-07
determination of adult lifespan (GO:0008340),894,124,81.57,+,1.52,1.01E-02
multicellular organism aging (GO:0010259),894,124,81.57,+,1.52,1.01E-02
aging (GO:0007568),896,124,81.75,+,1.52,1.12E-02
regulation of macromolecule metabolic process (GO:0060255),1570,217,143.24,+,1.51,2.69E-06
organelle organization (GO:0006996),1199,165,109.39,+,1.51,4.08E-04
nucleic acid metabolic process (GO:0090304),1405,193,128.19,+,1.51,3.85E-05
RNA metabolic process (GO:0016070),1180,162,107.66,+,1.5,6.12E-04
reproductive process (GO:0022414),1823,248,166.33,+,1.49,6.30E-07
nucleobase-containing compound metabolic process (GO:0006139),1676,228,152.91,+,1.49,3.70E-06
embryo development ending in birth or egg hatching (GO:0009792),3024,411,275.9,+,1.49,1.20E-13
embryo development (GO:0009790),3092,420,282.11,+,1.49,5.19E-14
cellular nitrogen compound metabolic process (GO:0034641),2013,273,183.66,+,1.49,9.06E-08
animal organ development (GO:0048513),1115,151,101.73,+,1.48,3.35E-03
heterocycle metabolic process (GO:0046483),1726,233,157.48,+,1.48,4.59E-06
cellular aromatic compound metabolic process (GO:0006725),1729,232,157.75,+,1.47,8.27E-06
gene expression (GO:0010467),1353,181,123.45,+,1.47,6.27E-04
organic cyclic compound metabolic process (GO:1901360),1777,235,162.13,+,1.45,2.15E-05
regulation of gene expression (GO:0010468),1330,175,121.35,+,1.44,2.73E-03
regulation of primary metabolic process (GO:0080090),1376,181,125.54,+,1.44,1.80E-03
regulation of nitrogen compound metabolic process (GO:0051171),1361,178,124.17,+,1.43,3.15E-03
cellular component organization or biogenesis (GO:0071840),1904,249,173.72,+,1.43,1.89E-05
regulation of cellular metabolic process (GO:0031323),1392,182,127,+,1.43,2.42E-03
reproduction (GO:0000003),2872,363,262.04,+,1.39,1.82E-07
multicellular organism development (GO:0007275),4542,567,414.4,+,1.37,3.70E-13
single-multicellular organism process (GO:0044707),4651,575,424.35,+,1.36,1.36E-12
anatomical structure development (GO:0048856),4756,585,433.93,+,1.35,1.75E-12
cellular macromolecule metabolic process (GO:0044260),2953,363,269.43,+,1.35,4.56E-06
single-organism developmental process (GO:0044767),4809,587,438.76,+,1.34,6.90E-12
developmental process (GO:0032502),4849,590,442.41,+,1.33,1.04E-11
cellular metabolic process (GO:0044237),3934,472,358.93,+,1.32,1.90E-07
nitrogen compound metabolic process (GO:0006807),3768,447,343.78,+,1.3,3.39E-06
macromolecule metabolic process (GO:0043170),3433,407,313.22,+,1.3,2.68E-05
metabolic process (GO:0008152),4926,568,449.44,+,1.26,5.34E-07
organic substance metabolic process (GO:0071704),4359,491,397.71,+,1.23,3.50E-04
primary metabolic process (GO:0044238),4212,471,384.29,+,1.23,1.65E-03
single-organism process (GO:0044699),8039,859,733.46,+,1.17,4.67E-06
cellular process (GO:0009987),7048,747,643.05,+,1.16,6.99E-04
biological_process (GO:0008150),11145,1119,1016.85,+,1.1,2.35E-03
Unclassified (UNCLASSIFIED),9307,747,849.15,-,0.88,0.00E+00
response to chemical (GO:0042221),1462,78,133.39,-,0.58,1.29E-04
system process (GO:0003008),944,17,86.13,-, < 0.2,6.47E-17
neurological system process (GO:0050877),856,13,78.1,-, < 0.2,6.50E-17
chemosensory behavior (GO:0007635),330,5,30.11,-, < 0.2,3.91E-05
olfactory behavior (GO:0042048),298,3,27.19,-, < 0.2,1.12E-05
sensory perception (GO:0007600),800,6,72.99,-, < 0.2,2.99E-21
detection of stimulus (GO:0051606),615,4,56.11,-, < 0.2,2.04E-16
sensory perception of chemical stimulus (GO:0007606),773,5,70.53,-, < 0.2,2.54E-21
detection of chemical stimulus involved in sensory perception of smell (GO:0050911),281,1,25.64,-, < 0.2,3.74E-07
sensory perception of smell (GO:0007608),290,1,26.46,-, < 0.2,1.68E-07
detection of chemical stimulus (GO:0009593),588,2,53.65,-, < 0.2,8.16E-18
detection of chemical stimulus involved in sensory perception (GO:0050907),582,1,53.1,-, < 0.2,5.05E-19
detection of stimulus involved in sensory perception (GO:0050906),588,1,53.65,-, < 0.2,2.90E-19
