GO biological process complete,Caenorhabditis elegans - REFLIST (20452),upload_1 (1086),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (P-value)
extracellular structure organization (GO:0043062),14,7,0.74,+,9.42,2.89E-02
muscle system process (GO:0003012),39,16,2.07,+,7.73,1.63E-06
ATP hydrolysis coupled proton transport (GO:0015991),22,9,1.17,+,7.7,8.63E-03
"energy coupled proton transmembrane transport, against electrochemical gradient (GO:0015988)",22,9,1.17,+,7.7,8.63E-03
regulation of neurotransmitter secretion (GO:0046928),20,8,1.06,+,7.53,3.47E-02
regulation of neurotransmitter transport (GO:0051588),20,8,1.06,+,7.53,3.47E-02
muscle contraction (GO:0006936),38,15,2.02,+,7.43,9.12E-06
regulation of secretion (GO:0051046),49,15,2.6,+,5.77,2.42E-04
"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)",36,11,1.91,+,5.75,1.19E-02
maturation of SSU-rRNA (GO:0030490),46,14,2.44,+,5.73,6.81E-04
regulation of pH (GO:0006885),41,12,2.18,+,5.51,6.96E-03
monovalent inorganic cation homeostasis (GO:0055067),43,12,2.28,+,5.26,1.12E-02
regulation of secretion by cell (GO:1903530),40,11,2.12,+,5.18,3.14E-02
ribosomal small subunit biogenesis (GO:0042274),62,16,3.29,+,4.86,8.79E-04
ATP hydrolysis coupled transmembrane transport (GO:0090662),48,12,2.55,+,4.71,3.30E-02
modulation of synaptic transmission (GO:0050804),48,12,2.55,+,4.71,3.30E-02
ATP hydrolysis coupled cation transmembrane transport (GO:0099132),48,12,2.55,+,4.71,3.30E-02
ATP hydrolysis coupled ion transmembrane transport (GO:0099131),48,12,2.55,+,4.71,3.30E-02
sodium ion transport (GO:0006814),74,18,3.93,+,4.58,3.98E-04
hydrogen ion transmembrane transport (GO:1902600),70,17,3.72,+,4.57,8.84E-04
inorganic ion homeostasis (GO:0098771),102,24,5.42,+,4.43,7.16E-06
ion homeostasis (GO:0050801),104,24,5.52,+,4.35,1.03E-05
cation homeostasis (GO:0055080),100,23,5.31,+,4.33,2.28E-05
cellular ion homeostasis (GO:0006873),85,19,4.51,+,4.21,6.50E-04
cellular cation homeostasis (GO:0030003),82,18,4.35,+,4.13,1.71E-03
proton transport (GO:0015992),87,19,4.62,+,4.11,9.16E-04
hydrogen transport (GO:0006818),88,19,4.67,+,4.07,1.08E-03
chemical homeostasis (GO:0048878),154,33,8.18,+,4.04,9.46E-08
cellular chemical homeostasis (GO:0055082),99,21,5.26,+,3.99,3.68E-04
rRNA processing (GO:0006364),132,28,7.01,+,3.99,3.44E-06
regulation of ion transport (GO:0043269),67,14,3.56,+,3.94,4.77E-02
ncRNA processing (GO:0034470),199,41,10.57,+,3.88,1.45E-09
ncRNA metabolic process (GO:0034660),205,41,10.89,+,3.77,3.63E-09
rRNA metabolic process (GO:0016072),140,28,7.43,+,3.77,1.20E-05
ribosome biogenesis (GO:0042254),193,38,10.25,+,3.71,3.69E-08
organic anion transport (GO:0015711),116,22,6.16,+,3.57,1.21E-03
striated muscle myosin thick filament assembly (GO:0071688),144,26,7.65,+,3.4,2.97E-04
myosin filament assembly (GO:0031034),145,26,7.7,+,3.38,3.39E-04
myosin filament organization (GO:0031033),145,26,7.7,+,3.38,3.39E-04
muscle structure development (GO:0061061),207,37,10.99,+,3.37,9.38E-07
muscle cell development (GO:0055001),169,30,8.97,+,3.34,4.80E-05
