GO biological process complete,Caenorhabditis elegans - REFLIST (20452),upload_1 (1180),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (P-value)
"mitochondrial electron transport, ubiquinol to cytochrome c (GO:0006122)",9,8,0.52,+,15.41,1.83E-04
"mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)",8,6,0.46,+,13,2.02E-02
cytoplasmic translation (GO:0002181),27,18,1.56,+,11.55,2.11E-10
mitochondrial ATP synthesis coupled electron transport (GO:0042775),29,18,1.67,+,10.76,6.87E-10
ATP synthesis coupled electron transport (GO:0042773),29,18,1.67,+,10.76,6.87E-10
oxidative phosphorylation (GO:0006119),30,18,1.73,+,10.4,1.20E-09
respiratory electron transport chain (GO:0022904),34,20,1.96,+,10.2,8.97E-11
protein import into mitochondrial matrix (GO:0030150),14,8,0.81,+,9.9,4.87E-03
ATP synthesis coupled proton transport (GO:0015986),23,13,1.33,+,9.8,3.98E-06
"energy coupled proton transport, down electrochemical gradient (GO:0015985)",23,13,1.33,+,9.8,3.98E-06
ATP biosynthetic process (GO:0006754),26,14,1.5,+,9.33,1.76E-06
cotranslational protein targeting to membrane (GO:0006613),15,8,0.87,+,9.24,8.03E-03
mitochondrial transmembrane transport (GO:1990542),27,14,1.56,+,8.99,2.83E-06
purine ribonucleoside triphosphate biosynthetic process (GO:0009206),29,15,1.67,+,8.96,7.59E-07
purine nucleoside triphosphate biosynthetic process (GO:0009145),29,15,1.67,+,8.96,7.59E-07
protein targeting to mitochondrion (GO:0006626),26,13,1.5,+,8.67,1.67E-05
electron transport chain (GO:0022900),40,20,2.31,+,8.67,1.68E-09
protein localization to mitochondrion (GO:0070585),27,13,1.56,+,8.35,2.59E-05
establishment of protein localization to mitochondrion (GO:0072655),27,13,1.56,+,8.35,2.59E-05
intracellular protein transmembrane transport (GO:0065002),32,15,1.85,+,8.12,2.83E-06
ribonucleoside triphosphate biosynthetic process (GO:0009201),32,15,1.85,+,8.12,2.83E-06
nucleoside triphosphate biosynthetic process (GO:0009142),35,16,2.02,+,7.92,1.15E-06
protein transmembrane transport (GO:0071806),33,15,1.9,+,7.88,4.26E-06
protein transmembrane import into intracellular organelle (GO:0044743),26,11,1.5,+,7.33,1.20E-03
mitochondrial transport (GO:0006839),38,16,2.19,+,7.3,3.64E-06
purine ribonucleoside monophosphate biosynthetic process (GO:0009168),38,16,2.19,+,7.3,3.64E-06
purine nucleoside monophosphate biosynthetic process (GO:0009127),38,16,2.19,+,7.3,3.64E-06
hydrogen ion transmembrane transport (GO:1902600),70,29,4.04,+,7.18,1.53E-12
translation (GO:0006412),269,108,15.52,+,6.96,3.55E-51
peptide biosynthetic process (GO:0043043),274,108,15.81,+,6.83,2.00E-50
nucleosome assembly (GO:0006334),36,14,2.08,+,6.74,9.88E-05
chromatin assembly (GO:0031497),36,14,2.08,+,6.74,9.88E-05
ribonucleoside monophosphate biosynthetic process (GO:0009156),44,17,2.54,+,6.7,4.04E-06
ribosome assembly (GO:0042255),44,17,2.54,+,6.7,4.04E-06
amide biosynthetic process (GO:0043604),301,112,17.37,+,6.45,5.38E-50
ATP metabolic process (GO:0046034),84,31,4.85,+,6.4,3.38E-12
chromatin assembly or disassembly (GO:0006333),38,14,2.19,+,6.39,1.89E-04
proton transport (GO:0015992),87,32,5.02,+,6.38,1.30E-12
hydrogen transport (GO:0006818),88,32,5.08,+,6.3,1.78E-12
protein peptidyl-prolyl isomerization (GO:0000413),31,11,1.79,+,6.15,6.42E-03
nucleoside monophosphate biosynthetic process (GO:0009124),48,17,2.77,+,6.14,1.43E-05
purine ribonucleoside triphosphate metabolic process (GO:0009205),93,32,5.37,+,5.96,7.93E-12
cellular respiration (GO:0045333),64,22,3.69,+,5.96,1.57E-07
